iter	Passed	Remaining
1116	84437	293527
1117	84515	293460
1118	84584	293363
1119	84651	293258
1120	84738	293220
1121	84839	293234
1122	84907	293131
1123	84984	293060
1124	85065	293004
1125	85128	292886
1126	85201	292798
1127	85275	292718
1128	85336	292592
1129	85420	292544
1130	85494	292466
1131	85611	292531
1132	85715	292551
1133	85796	292494
1134	85865	292397
1135	85937	292307
1136	86001	292194
1137	86073	292105
1138	86148	292027
1139	86226	291961
1140	86296	291866
1141	86379	291814
1142	86449	291719
1143	86526	291648
1144	86602	291574
1145	86685	291523
1146	86757	291435
1147	86826	291338
1148	86922	291331
1149	86999	291259
1150	87072	291174
1151	87151	291109
1152	87221	291015
1153	87294	290931
1154	87354	290803
1155	87420	290695
1156	87506	290656
1157	87579	290570
1158	87662	290518
1159	87749	290480
1160	87816	290375
1161	87886	290281
1162	87968	290229
1163	88045	290155
1164	88115	290063
1165	88190	289984
1166	88268	289917
1167	88341	289833
1168	88401	289707
1169	88467	289597
1170	88536	289502
1171	88598	289381
1172	88670	289293
1173	88738	289192
1174	88823	289148
1175	88900	289076
1176	88996	289068
1177	89082	289026
1178	89187	289045
1179	89281	289030
1180	89384	289041
1181	89462	288972
1182	89562	288976
1183	89665	288988
1184	89773	289017
1185	89843	288924
1186	89926	288870
1187	89997	288780
1188	90097	288782
1189	90180	288728
1190	90255	288650
1191	90328	288565
1192	90394	288457
1193	90488	288442
1194	90560	288354
1195	90645	288308
1196	90723	288239
1197	90803	288174
1198	90873	288083
1199	90957	288033
1200	91065	288058
1201	91143	287989
1202	91217	287908
1203	91300	287852
1204	91392	287828
1205	91460	287729
1206	91568	287752
1207	91649	287694
1208	91707	287563
1209	91782	287483
1210	92023	287925
1211	92108	287877
1212	92173	287767
1213	92243	287671
1214	92345	287678
1215	92432	287635
1216	92511	287567
1217	92584	287484
1218	92663	287418
1219	92744	287356
1220	92816	287267
1221	92887	287176
1222	92959	287088
1223	93069	287117
1224	93148	287049
1225	93217	286951
1226	93308	286921
1227	93374	286815
1228	93448	286732
1229	93531	286679
1230	93605	286594
1231	93674	286498
1232	93759	286449
1233	93841	286392
1234	93909	286292
1235	93985	286214
1236	94059	286133
1237	94123	286019
1238	94189	285912
1239	94248	285784
1240	94326	285716
1241	94457	285805
1242	94600	285932
1243	94685	285883
1244	94765	285820
1245	94913	285958
1246	95029	286001
1247	95108	285934
1248	95172	285822
1249	95240	285720
1250	95306	285615
1251	95381	285536
1252	95467	285486
1253	95547	285424
1254	95614	285321
1255	95685	285228
1256	95755	285134
1257	95819	285020
1258	95898	284952
1259	95970	284865
1260	96035	284754
1261	96101	284648
1262	96174	284565
1263	96236	284447
1264	96300	284332
1265	96386	284286
1266	96458	284198
1267	96529	284108
1268	96606	284034
1269	96667	283912
1270	96740	283826
1271	96834	283803
1272	96916	283743
1273	97004	283704
1274	97063	283577
1275	97167	283582
1276	97243	283505
1277	97319	283429
1278	97388	283333
1279	97471	283276
1280	97543	283188
1281	97620	283115
1282	97706	283067
1283	97775	282970
1284	97850	282891
1285	97924	282807
1286	97999	282729
1287	98067	282628
1288	98155	282587
1289	98240	282537
1290	98339	282527
1291	98421	282467
1292	98499	282394
1293	98570	282305
1294	98647	282231
1295	98727	282166
1296	98801	282083
1297	98878	282010
1298	98973	281987
1299	99047	281904
1300	99139	281874
1301	99253	281904
1302	99323	281810
1303	99406	281754
1304	99489	281695
1305	99566	281622
1306	99655	281583
1307	99737	281522
1308	99797	281398
1309	99886	281360
1310	99977	281324
1311	100072	281300
1312	100158	281253
1313	100238	281185
1314	100321	281128
1315	100395	281045
1316	100588	281295
1317	100687	281283
1318	100746	281159
1319	100805	281034
1320	100885	280967
1321	100956	280875
1322	101024	280777
1323	101107	280719
1324	101177	280624
1325	101300	280678
1326	101383	280619
1327	101465	280559
1328	101530	280451
1329	101601	280359
1330	101664	280244
1331	101738	280161
1332	101817	280092
1333	101897	280027
1334	101958	279908
1335	102025	279805
1336	102114	279765
1337	102188	279682
1338	102260	279593
1339	102323	279480
1340	102402	279412
1341	102478	279334
1342	102557	279265
1343	102635	279192
1344	102710	279113
1345	102774	279003
1346	102853	278932
1347	102918	278825
1348	102978	278705
1349	103056	278634
1350	103132	278557
1351	103205	278470
1352	103274	278376
1353	103343	278278
1354	103416	278193
1355	103484	278094
1356	103566	278034
1357	103648	277972
1358	103735	277925
1359	103806	277835
1360	103888	277774
1361	103957	277676
1362	104039	277616
1363	104131	277581
1364	104223	277547
1365	104303	277481
